year,temp_c_recon,flower_doy,flower_date
812,9.9,92,812-04-01
815,6,105,815-04-15
831,8.6,96,831-04-06
851,5.2,108,851-04-18
853,6.3,104,853-04-14
864,7.4,100,864-04-09
866,5.7,106,866-04-16
869,8.9,95,869-04-05
889,6.3,104,889-04-14
891,4.9,109,891-04-19
892,5.2,108,892-04-17
894,5.7,106,894-04-16
895,6.3,104,895-04-14
896,6.3,104,896-04-13
902,6.9,102,902-04-12
908,8,98,908-04-07
912,8.9,95,912-04-04
913,4.6,110,913-04-20
917,8.9,95,917-04-05
923,6.3,104,923-04-14
926,8,98,926-04-08
930,8.3,97,930-04-07
933,5.7,106,933-04-16
941,4.9,109,941-04-19
949,5.4,107,949-04-17
950,8.9,95,950-04-05
955,10.8,89,955-03-30
957,4.1,112,957-04-22
958,4.9,109,958-04-19
959,8.3,97,959-04-07
960,7.2,101,960-04-10
961,11.5,87,961-03-28
963,9.3,94,963-04-04
965,6.3,104,965-04-14
966,8,98,966-04-08
967,6.6,103,967-04-13
969,8,98,969-04-08
972,5.4,107,972-04-16
974,5.2,108,974-04-18
975,7.2,101,975-04-11
977,4.1,112,977-04-22
979,6.3,104,979-04-14
985,9.3,94,985-04-04
989,7.4,100,989-04-10
991,6.3,104,991-04-14
1000,6,105,1000-04-15
1004,2.7,117,1004-04-26
1006,7.4,100,1006-04-10
1007,5.7,106,1007-04-16
1014,3.2,115,1014-04-25
1016,4.3,111,1016-04-20
1017,7.7,99,1017-04-09
1018,3.8,113,1018-04-23
1019,8,98,1019-04-08
1029,3,116,1029-04-26
1031,8.3,97,1031-04-07
1032,4.3,111,1032-04-20
1033,6.9,102,1033-04-12
1034,8.6,96,1034-04-06
1036,6.3,104,1036-04-13
1041,6.6,103,1041-04-13
1046,6.6,103,1046-04-13
1048,4.1,112,1048-04-21
1050,6,105,1050-04-15
1060,5.2,108,1060-04-17
1061,9.9,92,1061-04-02
1066,6,105,1066-04-15
1071,3.8,113,1071-04-23
1073,6.6,103,1073-04-13
1080,6.9,102,1080-04-11
1083,8.6,96,1083-04-06
1084,2,120,1084-04-29
1088,6.3,104,1088-04-13
1090,6,105,1090-04-15
1093,6,105,1093-04-15
1095,7.4,100,1095-04-10
1096,8.6,96,1096-04-05
1098,7.4,100,1098-04-10
1099,6.6,103,1099-04-13
1102,6.3,104,1102-04-14
1104,5.2,108,1104-04-17
1105,3.5,114,1105-04-24
1107,6,105,1107-04-15
1111,3.8,113,1111-04-23
1112,6.3,104,1112-04-13
1114,7.4,100,1114-04-10
1117,4.9,109,1117-04-19
1118,6.9,102,1118-04-12
1120,6.3,104,1120-04-13
1123,4.1,112,1123-04-22
1124,8,98,1124-04-07
1125,4.3,111,1125-04-21
1126,5.2,108,1126-04-18
1127,5.4,107,1127-04-17
1128,4.3,111,1128-04-20
1129,5.7,106,1129-04-16
1130,6.6,103,1130-04-13
1131,6.6,103,1131-04-13
1134,5.7,106,1134-04-16
1139,3.8,113,1139-04-23
1140,6.6,103,1140-04-12
1141,4.3,111,1141-04-21
1143,4.6,110,1143-04-20
1145,5.4,107,1145-04-17
1151,4.9,109,1151-04-19
1154,8.6,96,1154-04-06
1156,10.5,90,1156-03-30
1159,6.6,103,1159-04-13
1161,4.1,112,1161-04-22
1163,4.1,112,1163-04-22
1164,7.4,100,1164-04-09
1165,5.7,106,1165-04-16
1166,8.9,95,1166-04-05
1167,4.3,111,1167-04-21
1169,4.1,112,1169-04-22
1170,3.8,113,1170-04-23
1172,6.6,103,1172-04-12
1173,2.7,117,1173-04-27
1174,4.1,112,1174-04-22
1175,3.8,113,1175-04-23
1176,3.8,113,1176-04-22
1179,6.6,103,1179-04-13
1180,8,98,1180-04-07
1182,6.3,104,1182-04-14
1183,7.2,101,1183-04-11
1184,3.2,115,1184-04-24
1185,3.2,115,1185-04-25
1187,6.3,104,1187-04-14
1188,5.4,107,1188-04-16
1190,4.1,112,1190-04-22
1191,5.7,106,1191-04-16
1194,2.2,119,1194-04-29
1199,4.9,109,1199-04-19
1200,6.3,104,1200-04-13
1201,8.6,96,1201-04-06
1202,5.7,106,1202-04-16
1203,6,105,1203-04-15
1204,4.6,110,1204-04-19
1205,6,105,1205-04-15
1207,6.3,104,1207-04-14
1210,4.1,112,1210-04-22
1212,8,98,1212-04-07
1213,5.4,107,1213-04-17
1214,6.9,102,1214-04-12
1215,5.2,108,1215-04-18
1216,7.2,101,1216-04-10
1219,7.2,101,1219-04-11
1220,4.9,109,1220-04-18
1221,7.7,99,1221-04-09
1223,3,116,1223-04-26
1225,6,105,1225-04-15
1226,5.7,106,1226-04-16
1227,4.3,111,1227-04-21
1229,8.3,97,1229-04-07
